weightPerServing,veryHealthy,calories,Fat/g,Carbohydrates/g,Cholesterol/mg,Sodium/mg,Protein/g
181,FALSE,208.12,17.0,7.97,22.4,834.44,7.92
261,FALSE,562.89,14.84,90.31,2.4,491.95,16.92
112,FALSE,215.2,17.61,12.44,0.09,497.2,2.99
1618,FALSE,411.41,19.18,48.94,54.25,771.65,13.11
258,FALSE,210.69,4.4,38.8,0.85,493.87,5.75
82,FALSE,102.96,4.83,10.44,35.15,207.04,4.89
245,FALSE,397.53,11.65,49.98,25.5,580.64,22.93
53,FALSE,99.75,5.28,11.1,0.21,175.86,2.13
1130,TRUE,1140.02,50.08,47.4,447.21,1935.85,120.42
517,TRUE,985.48,29.03,148.08,1.02,1269.37,34.8
245,FALSE,751.94,28.31,93.41,134.82,704.03,31.18
206,TRUE,293.38,15.76,1.07,95.5,279.6,35.15
170,FALSE,187.93,14.07,9.88,49.82,290.57,6.12
1116,FALSE,574.52,7.56,35.61,245.86,2344.68,69.81
317,TRUE,461.93,22.23,20.78,67.0,534.57,45.21
262,FALSE,480.11,30.52,44.38,32.98,846.12,7.48
52,FALSE,270.64,28.04,0.92,12.76,23.14,4.48
243,FALSE,393.01,22.18,15.59,93.55,1782.3,27.19
908,TRUE,590.91,19.53,71.84,20.4,1662.39,38.81
115,FALSE,129.36,10.19,7.23,15.54,85.71,4.83
